rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral
920.9782887776693,919.5105723904488,881.9438046004421,847.2093912760416
919.699848429362,920.7510440224096,881.3802262180535,845.7934366861979
916.7609710693359,924.2062547726739,881.0181774996972,849.97021484375
918.1276580810547,921.9364761696722,882.5930468182231,850.4105021158854
920.1610883924697,917.6112927888569,880.6000600888748,836.9412231445312
919.3193081325954,917.9610586524906,880.5798635083576,846.9072469075521
918.4611657036676,916.5751976070547,879.144434823916,843.4471232096354
921.0692413330078,915.0279729169114,881.7700638172238,844.5989990234375
922.1022050645616,917.0840458690672,881.6528535118399,849.6936442057291
920.7246164957683,916.3038527409833,881.9052820486615,847.0529174804688
919.5961815728082,917.2820613545583,881.4693893077762,845.0702514648438
922.8907413058811,918.7916792102326,882.475478818435,846.8072306315104
923.0958197699653,921.0974795692846,882.7588230340056,846.8563232421875
923.8015553792318,920.2127648833999,883.2746614204821,847.1514689127604
923.3314809163411,921.781015037594,882.065100570797,849.8268839518229
921.7097344292534,921.7604971290531,883.0365199362585,845.4841105143229
920.9302998860677,923.0582050524259,882.4345783558927,844.7480061848959
924.8510596381293,920.4504325694608,883.2007063045058,840.6995442708334
921.5124365912543,920.9522553637512,881.850954987282,844.9476114908854
922.8714711507162,920.6228467898261,882.9013956705729,846.29296875
922.1082509358724,919.9154415274024,884.8567220052083,844.7091674804688
922.4892578125,917.2421264648438,883.6023458318193,848.6019287109375
924.4431718614367,918.5724147710586,884.727815565952,850.4812215169271
922.8453881157769,913.3641329887218,883.5649488818738,840.0528971354166
918.2192091200087,920.4963002599271,881.7535072030947,843.7458292643229
920.9160237630208,918.0913489779135,881.7964240968689,848.5683186848959
923.5672047932943,918.4738898026316,883.4429035512052,846.1332194010416
921.9190578884549,915.3627314746828,883.0392434290213,846.6977335611979
923.0291144476996,918.5143382136984,884.790478515625,841.9033610026041
923.3507768419054,918.0411248458059,885.6475609594537,840.7313028971354
923.1239681667752,916.7310391763099,885.3349982209908,843.1041056315104
921.5221052381728,916.1880052609552,884.0126192314681,837.1897379557291
926.8451982286241,919.9755565671992,885.8921679119732,840.8477986653646
924.041084798177,916.1257007570196,884.6900928112888,843.1147054036459
920.7037695990668,915.9459389134457,884.7625237516654,844.6333618164062
920.0375410291883,916.7978951590402,883.162679414971,844.5889689127604
921.6091050889756,916.3264541052338,883.9208335225896,848.2424926757812
918.449553765191,917.7162273665119,881.6585567503937,844.2012939453125
921.2282928466797,913.9335166529605,880.9643723125606,843.6769816080729
919.4665313720703,915.5473958639274,883.0750668074734,839.8642171223959
917.5704552544488,916.2654244559152,883.4115945978682,839.2506713867188
920.6138980441623,919.4888241416529,883.7779684850411,841.9080403645834
919.1803025987413,917.069978412829,882.6323987857315,848.0852864583334
923.4068800184461,917.1880878649259,880.9666335468145,838.5904134114584
920.35943230523,918.160119537124,882.2194501536761,842.1271769205729
923.3729875352648,914.6145643650141,883.0091196932534,842.4826049804688
925.1364607069228,912.4527973375822,882.6487833658854,841.7010091145834
922.5007700602214,911.9362366181567,881.9134509182716,845.6165568033854
918.3463049994575,918.445150045524,882.7050856952519,838.3290201822916
918.5755377875435,914.8478430267563,884.0653581486192,840.3954671223959
919.6062252468533,915.4570092222745,882.0173451504966,845.3671061197916
915.3131066216363,913.4495037336994,881.1832809093387,845.6648966471354
916.0135247124566,915.5467148400787,881.7917048018109,849.8461303710938
